year,period,statement,filename,status,bytes,zip_ok,entry_count,error
2016,FQ,BS,2016_1Q_BS_20230119040459.zip,download_error,0,False,0,"Page.evaluate: ReferenceError: download_ext002 is not defined
    at eval (eval at evaluate (:311:30), <anonymous>:1:16)
    at UtilityScript.evaluate (<anonymous>:318:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
2016,FQ,CF,2016_1Q_CF_20230119040652.zip,download_error,0,False,0,"Page.evaluate: ReferenceError: download_ext002 is not defined
    at eval (eval at evaluate (:311:30), <anonymous>:1:16)
    at UtilityScript.evaluate (<anonymous>:318:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
2016,FQ,PL,2016_1Q_PL_20230119040600.zip,download_error,0,False,0,"Page.evaluate: ReferenceError: download_ext002 is not defined
    at eval (eval at evaluate (:311:30), <anonymous>:1:16)
    at UtilityScript.evaluate (<anonymous>:318:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
2016,FY,BS,2016_4Q_BS_20241115030222.zip,download_error,0,False,0,"Page.evaluate: ReferenceError: download_ext002 is not defined
    at eval (eval at evaluate (:311:30), <anonymous>:1:16)
    at UtilityScript.evaluate (<anonymous>:318:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
2016,FY,CF,2016_4Q_CF_20241115030611.zip,download_error,0,False,0,"Page.evaluate: ReferenceError: download_ext002 is not defined
    at eval (eval at evaluate (:311:30), <anonymous>:1:16)
    at UtilityScript.evaluate (<anonymous>:318:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
2016,FY,PL,2016_4Q_PL_20241115030423.zip,download_error,0,False,0,"Page.evaluate: ReferenceError: download_ext002 is not defined
    at eval (eval at evaluate (:311:30), <anonymous>:1:16)
    at UtilityScript.evaluate (<anonymous>:318:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
2016,HY,BS,2016_2Q_BS_20230119040915.zip,download_error,0,False,0,"Page.evaluate: ReferenceError: download_ext002 is not defined
    at eval (eval at evaluate (:311:30), <anonymous>:1:16)
    at UtilityScript.evaluate (<anonymous>:318:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
2016,HY,CF,2016_2Q_CF_20230119041107.zip,download_error,0,False,0,"Page.evaluate: ReferenceError: download_ext002 is not defined
    at eval (eval at evaluate (:311:30), <anonymous>:1:16)
    at UtilityScript.evaluate (<anonymous>:318:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
2016,HY,PL,2016_2Q_PL_20230119041014.zip,download_error,0,False,0,"Page.evaluate: ReferenceError: download_ext002 is not defined
    at eval (eval at evaluate (:311:30), <anonymous>:1:16)
    at UtilityScript.evaluate (<anonymous>:318:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
2016,TQ,BS,2016_3Q_BS_20230119041335.zip,download_error,0,False,0,"Page.evaluate: ReferenceError: download_ext002 is not defined
    at eval (eval at evaluate (:311:30), <anonymous>:1:16)
    at UtilityScript.evaluate (<anonymous>:318:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
2016,TQ,CF,2016_3Q_CF_20230119041528.zip,download_error,0,False,0,"Page.evaluate: ReferenceError: download_ext002 is not defined
    at eval (eval at evaluate (:311:30), <anonymous>:1:16)
    at UtilityScript.evaluate (<anonymous>:318:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
2016,TQ,PL,2016_3Q_PL_20230119041435.zip,download_error,0,False,0,"Page.evaluate: ReferenceError: download_ext002 is not defined
    at eval (eval at evaluate (:311:30), <anonymous>:1:16)
    at UtilityScript.evaluate (<anonymous>:318:18)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
